File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
Zenith\Flux\HDR\Flux_HDR.cpp,785,589,77,119,26,24,4.50,38,4,1,32340.05,67.12,2170570.88,10.780
Zenith\Flux\HDR\Flux_HDR.h,140,100,20,23,1,0,32.22,0,1,0,2692.31,9.92,26712.41,0.897
Zenith\Flux\HiZ\Flux_HiZ.cpp,241,155,42,44,7,13,24.70,13,1,2,6241.35,39.64,247414.30,2.080
Zenith\Flux\HiZ\Flux_HiZ.h,35,23,7,9,1,0,51.54,0,1,0,456.51,6.80,3104.24,0.152
Zenith\Flux\IBL\Flux_IBL.cpp,546,373,107,72,32,49,9.92,36,3,4,17310.28,64.70,1120021.91,5.770
Zenith\Flux\IBL\Flux_IBL.h,182,103,69,32,1,0,31.73,0,1,0,2886.33,11.18,32277.90,0.962
Zenith\Flux\InstancedMeshes\Flux_AnimationTexture.cpp,461,328,54,83,33,43,11.31,13,0,3,15630.32,85.09,1330006.17,5.210
Zenith\Flux\InstancedMeshes\Flux_AnimationTexture.h,149,71,65,26,1,0,36.11,9,6,0,2179.19,17.88,38953.07,0.726
Zenith\Flux\InstancedMeshes\Flux_InstanceCulling.h,67,46,19,9,4,4,41.71,2,2,2,1169.56,19.23,22492.72,0.390
Zenith\Flux\InstancedMeshes\Flux_InstancedMeshes.cpp,556,380,100,96,38,48,8.78,16,1,2,18199.12,49.41,899132.11,6.066
Zenith\Flux\InstancedMeshes\Flux_InstancedMeshes.h,52,24,19,10,1,0,50.68,0,3,0,530.04,6.21,3289.91,0.177
Zenith\Flux\InstancedMeshes\Flux_InstanceGroup.cpp,395,275,50,74,30,44,14.43,21,1,3,11102.30,66.12,734042.16,3.701
Zenith\Flux\InstancedMeshes\Flux_InstanceGroup.h,178,91,68,35,1,0,32.10,20,4,0,3751.04,20.44,76668.99,1.250
Zenith\Flux\MeshAnimation\Flux_AnimationClip.cpp,769,596,62,115,71,113,0.00,45,0,3,29683.56,132.71,3939255.32,9.895
Zenith\Flux\MeshAnimation\Flux_AnimationClip.h,249,149,66,47,4,3,24.85,27,11,0,7670.14,30.21,231724.75,2.557
Zenith\Flux\MeshAnimation\Flux_AnimationController.cpp,744,572,72,100,80,118,0.00,36,0,3,22697.60,90.95,2064374.50,7.566
Zenith\Flux\MeshAnimation\Flux_AnimationController.h,360,168,115,82,11,10,22.76,29,3,1,7716.61,27.60,213007.52,2.572
Zenith\Flux\MeshAnimation\Flux_AnimationLayer.cpp,131,103,8,20,11,11,30.21,10,0,2,3054.11,61.41,187550.30,1.018
Zenith\Flux\MeshAnimation\Flux_AnimationLayer.h,80,46,23,14,3,2,40.66,11,1,0,1728.08,18.34,31692.32,0.576
Zenith\Flux\MeshAnimation\Flux_AnimationStateMachine.cpp,1042,806,79,158,142,225,0.00,63,0,3,37452.28,105.44,3948801.35,12.484
Zenith\Flux\MeshAnimation\Flux_AnimationStateMachine.h,326,197,83,61,3,0,21.79,22,12,0,9189.85,26.01,239011.52,3.063
Zenith\Flux\MeshAnimation\Flux_BlendTree.cpp,854,667,60,127,105,151,0.00,65,0,3,31302.95,142.57,4462851.03,10.434
Zenith\Flux\MeshAnimation\Flux_BlendTree.h,380,237,67,83,1,0,20.14,42,13,0,9724.34,27.88,271114.56,3.241
Zenith\Flux\MeshAnimation\Flux_BonePose.cpp,621,470,65,86,82,130,0.00,36,0,4,24582.16,104.74,2574854.09,8.194
Zenith\Flux\MeshAnimation\Flux_BonePose.h,255,127,76,54,1,0,28.25,7,8,0,4712.01,23.46,110563.92,1.571
Zenith\Flux\MeshAnimation\Flux_InverseKinematics.cpp,794,590,89,128,71,102,0.00,35,0,4,33690.73,122.19,4116732.31,11.230
Zenith\Flux\MeshAnimation\Flux_InverseKinematics.h,276,140,94,56,1,0,26.38,1,7,0,6434.94,25.63,164907.39,2.145
Zenith\Flux\MeshAnimation\Flux_MeshAnimation.cpp,170,142,5,26,15,18,23.39,5,0,3,8881.81,41.27,366554.81,2.961
Zenith\Flux\MeshAnimation\Flux_MeshAnimation.h,175,140,4,32,10,17,25.40,10,7,2,5964.00,49.72,296546.61,1.988
Zenith\Flux\MeshAnimation\Flux_SkeletonInstance.cpp,435,301,80,54,39,44,11.88,17,0,2,13017.00,100.38,1306706.15,4.339
